Process_ID,ID,Timestamp,Voltage,Current,Power,Energy,Frequency,PF
station01,1,2024-11-12 12:14:22.202777,221.93,0.03,2.34,0.445,50.05,0.35
station01,2,2024-11-12 12:14:22.341293,227.26,0.04,4.85,0.109,49.89,0.22
station01,3,2024-11-12 12:14:22.466893,224.11,0.03,3.07,0.483,49.92,0.87
station01,4,2024-11-12 12:14:22.598086,224.91,0.03,2.39,0.313,49.95,0.3
station01,5,2024-11-12 12:14:22.761384,222.56,0.03,0.15,0.655,50.15,0.18
station01,6,2024-11-12 12:14:22.930176,226.97,0.02,2.96,0.506,49.85,0.73
station01,7,2024-11-12 12:14:23.087277,220.64,0.02,2.1,0.454,49.82,0.51
station01,8,2024-11-12 12:14:23.120524,224.65,0.05,3.93,0.167,50.16,0.9
station01,9,2024-11-12 12:14:23.433699,229.06,0.04,3.69,0.099,50.01,0.13
station01,10,2024-11-12 12:14:23.464662,228.15,0.04,1.21,0.773,50.15,0.27
station01,11,2024-11-12 12:14:23.620686,229.58,0.02,0.53,0.98,49.83,0.74
station01,12,2024-11-12 12:14:23.942272,227.03,0.03,1.22,0.81,50.12,0.97
station01,13,2024-11-12 12:14:23.976076,228.82,0.03,1.19,0.267,49.99,0.53
station01,14,2024-11-12 12:14:24.068510,227.48,0.03,0.11,0.923,49.87,0.3
station01,15,2024-11-12 12:14:24.389219,226.43,0.01,0.29,0.01,49.97,0.77
station01,16,2024-11-12 12:14:24.421880,224.66,0.02,3.4,0.118,50.04,0.4
station01,17,2024-11-12 12:14:24.580416,221.39,0.04,2.23,0.867,49.96,0.65
station01,18,2024-11-12 12:14:24.902679,229.37,0.02,0.44,0.271,50.09,0.38
station01,19,2024-11-12 12:14:24.935893,228.97,0.04,2.33,0.573,50.09,0.44
station01,20,2024-11-12 12:14:25.165269,220.97,0.05,2.73,0.577,50.07,0.74
station01,21,2024-11-12 12:14:25.200912,220.45,0.01,3.24,0.997,50.02,0.37
station01,22,2024-11-12 12:14:25.232778,220.49,0.03,4.9,0.787,49.98,0.44
station01,23,2024-11-12 12:14:25.262751,225.23,0.02,2.24,0.485,49.81,0.01
station01,24,2024-11-12 12:14:25.294180,222.89,0.02,0.38,0.125,49.91,0.55
station01,25,2024-11-12 12:14:25.324827,220.9,0.04,2.11,0.859,50.02,0.62
station01,26,2024-11-12 12:14:25.355093,227.01,0.05,3.97,0.437,50.09,0.15
station01,27,2024-11-12 12:14:25.387471,228.25,0.01,4.69,0.432,49.99,0.85
station01,28,2024-11-12 12:14:25.419643,223.11,0.04,0.61,0.703,49.94,0.02
station01,29,2024-11-12 12:14:25.451372,223.53,0.02,1.64,0.444,49.9,0.21
station01,30,2024-11-12 12:14:25.487383,224.54,0.02,3.91,0.403,49.89,0.4
station01,31,2024-11-12 12:14:25.522451,221.89,0.04,2.18,0.128,49.92,0.86
station01,32,2024-11-12 12:14:25.557450,226.61,0.04,2.51,0.5,49.92,0.18
station01,33,2024-11-12 12:14:25.587285,224.48,0.02,0.68,0.381,50.16,0.68
station01,34,2024-11-12 12:14:25.618140,220.45,0.03,4.4,0.525,50.13,0.82
station01,35,2024-11-12 12:14:25.650606,221.19,0.03,3.78,0.312,50.19,0.86
station01,36,2024-11-12 12:14:25.682008,221.88,0.04,0.32,0.315,49.85,0.21
station01,37,2024-11-12 12:14:25.713353,222.96,0.04,4.92,0.558,49.95,0.5
station01,38,2024-11-12 12:14:25.743850,222.34,0.03,4.44,0.432,49.9,0.23
station01,39,2024-11-12 12:14:25.773491,224.84,0.03,1.72,0.437,49.93,0.37
station01,40,2024-11-12 12:14:25.802882,222.68,0.03,2.14,0.785,49.94,0.78
station01,41,2024-11-12 12:14:25.831684,220.95,0.04,2.36,0.459,49.86,0.19
station01,42,2024-11-12 12:14:25.860900,223.71,0.04,2.27,0.174,50.03,0.56
station01,43,2024-11-12 12:14:25.887866,223.86,0.03,3.58,0.536,50.14,0.3
station01,44,2024-11-12 12:14:25.919029,226.7,0.01,1.54,0.343,50.2,0.67
station01,45,2024-11-12 12:14:25.950528,225.41,0.04,4.77,0.655,49.83,0.9
station01,46,2024-11-12 12:14:25.980160,225.18,0.03,0.7,0.228,49.89,0.14
station01,47,2024-11-12 12:14:26.011308,226.32,0.04,3.53,0.384,49.88,0.48
station01,48,2024-11-12 12:14:26.040226,225.7,0.04,3.55,0.119,49.86,0.87
station01,49,2024-11-12 12:14:26.083574,225.78,0.05,0.76,0.627,49.88,0.64
station01,50,2024-11-12 12:14:26.115644,220.96,0.03,0.55,0.771,50.17,0.23
